time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010451750000	7.70684	20.3686	4.87527	3.53275	0.521256	radar	0.898445	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.42011	20.3097	4.93392	3.5412	0.504422	lidar	2.23414	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.19389	20.2114	4.93286	3.56567	0.503208	radar	0.0775062	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.93717	20.1307	4.96162	3.5797	0.492767	lidar	0.6122	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.71429	20.03	4.95716	3.60108	0.489128	radar	0.174035	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.46918	19.9436	4.97429	3.6141	0.478702	lidar	0.376881	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.2501	19.8384	4.96894	3.63426	0.475116	radar	0.830384	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	5.99341	19.7509	4.99751	3.64249	0.460859	lidar	0.799394	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.776	19.6173	5.00496	3.67061	0.466624	radar	0.414935	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.58503	19.5035	4.97542	3.69227	0.465754	lidar	0.59886	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.37508	19.3649	4.97874	3.71799	0.468294	radar	0.195797	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.15976	19.2754	4.96567	3.72481	0.453936	lidar	0.936454	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452350000	4.95385	19.1497	4.95649	3.74202	0.447945	radar	0.775279	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
